Probe Set ID,chr,bp_start
200693_at,22,42372053
200694_s_at,14,93587021
200695_at,19,57385116
200696_s_at,9,123101945
200697_at,10,70748628
200698_at,7,6467178
200699_at,7,6467178
200700_s_at,7,6468794
200701_at,14,74016403
200702_s_at,14,93587020
200703_at,12,119418315
200704_at,16,11549356
200705_s_at,2,206732713
200706_s_at,16,11549959
200707_at,19,11407467
200708_at,16,57298537
200709_at,6,63979351
200710_at,17,7063950
200711_s_at,5,133520467
200712_s_at,20,30871363
200713_s_at,20,30871434
200714_x_at,12,56374186
200715_x_at,10,98500029
200716_x_at,1,205147569
200717_x_at,10,36026223
200718_s_at,5,133519982
200719_at,5,133519982
200720_s_at,10,104228975
200721_s_at,10,104228976
200722_s_at,11,34029805
200723_s_at,11,34030503
200724_at,X,153280030
200725_x_at,5,167975893
200726_at,12,109642126
200727_s_at,19,20229455
200728_at,19,20229455
200729_s_at,19,20229462
200730_s_at,6,64340337
200731_s_at,6,64340337
200732_s_at,6,64340337
200733_s_at,6,64344353
200734_s_at,12,47616258
200735_x_at,4,166083866
200736_s_at,3,49369615
200737_at,X,77246414
200738_s_at,X,77246414
200739_s_at,21,45049961
200740_s_at,21,45049967
200741_s_at,1,152229876
200742_s_at,11,6590574
200743_s_at,11,6590575
200744_s_at,1,1706584
200745_s_at,1,1706584
200746_s_at,1,1706585
200747_s_at,11,71391566
200748_s_at,3,73060801
200749_at,12,129922520
200750_s_at,12,129922520
200751_s_at,2,190496145
200752_s_at,11,64705918
200753_x_at,17,71896310
200754_x_at,17,72241799
200755_s_at,7,128166645
200756_x_at,7,128166671
200757_s_at,7,128166671
200758_s_at,17,43480695
200759_x_at,17,43480744
200760_s_at,3,69216783
200761_s_at,3,69216799
200762_at,8,26491372
200763_s_at,14,76504651
200764_s_at,5,138117025
200765_x_at,5,138145509
200766_at,11,1730560
200767_s_at,9,95253993
200768_s_at,12,91775891
200769_s_at,12,91775919
200770_s_at,1,181259219
200771_at,1,181259175
200772_x_at,2,232281479
200773_x_at,12,12155208
200774_at,9,95253993
200775_s_at,3,97550979
200776_s_at,2,201384555
200777_s_at,2,201384889
200778_s_at,2,241903457
200779_at,22,38246514
200780_x_at,20,56900129
200781_s_at,1,45018543
200782_at,4,122808597
200783_s_at,1,26099198
200784_s_at,12,55808548
200785_s_at,12,55808548
200786_at,9,126155565
200787_s_at,1,158441855
200788_s_at,1,158441872
200789_at,19,43997909
200790_at,2,10497958
200791_s_at,15,88732504
200792_at,22,40347940
200793_s_at,22,40195076
200794_x_at,12,49918889
200795_at,4,88613513
200796_s_at,1,148813656
200797_s_at,1,148813656
200798_x_at,1,148815167
200799_at,6,31891315
200800_s_at,6,31891315
200801_x_at,5,77116397
200802_at,1,109558062
200803_s_at,12,48421629
200804_at,12,48432511
200805_at,5,176691356
200806_s_at,12,55190991
200807_s_at,12,55191027
200808_s_at,7,142788568
200809_x_at,1,15991809
200810_s_at,19,1220346
200811_at,19,1220346
200812_at,2,73314958
200813_s_at,17,2443682
200814_at,14,23675219
200815_s_at,17,2443789
200816_s_at,17,2443685
200817_x_at,1,199755803
200818_at,21,34197627
200819_s_at,19,1389395
200820_at,19,43557290
200821_at,X,119454392
200822_x_at,1,76938028
200823_x_at,6,118426802
200824_at,11,67107861
200825_s_at,11,118420109
200826_at,19,50882558
200827_at,1,11917396
200828_s_at,17,27701265
200829_x_at,17,27701277
200830_at,3,185499809
200831_s_at,10,102096870
200832_s_at,10,102096870
200833_s_at,12,67290977
200834_s_at,20,60395566
200835_s_at,3,47867268
200836_s_at,3,47868361
200837_at,16,32788804
200838_at,8,11739236
200839_s_at,8,11739236
200840_at,16,74219130
200841_s_at,1,218208564
200842_s_at,1,218208564
200843_s_at,1,218208565
200844_s_at,1,171713059
200845_s_at,1,171713116
200846_s_at,11,66922233
200847_s_at,8,30040154
200848_at,1,110328918
200849_s_at,1,110328918
200850_s_at,1,110329240
200851_s_at,16,70486945
200852_x_at,7,100109419
200853_at,4,101088265
200854_at,17,15874140
200855_at,17,15874140
200856_x_at,17,15874140
200857_s_at,17,15875983
200858_s_at,1,45013832
200859_x_at,X,153230158
200860_s_at,16,57112103
200861_at,16,57111356
200862_at,1,55087895
200863_s_at,15,63948856
200864_s_at,15,63948911
200865_at,11,7965275
200866_s_at,10,73246614
200867_at,20,47986351
200868_s_at,20,47986350
200869_at,1,27375814
200870_at,12,15926762
200871_s_at,10,73246063
200872_at,1,150222017
200873_s_at,1,145141331
200874_s_at,20,2581246
200875_s_at,20,2581486
200876_s_at,6,170686151
200877_at,2,61949067
200878_at,2,46378085
200879_s_at,2,46378405
200880_at,9,33015244
200881_s_at,9,33015308
200882_s_at,1,149493820
200883_at,16,21872192
200884_at,14,103055757
200885_at,1,113045286
200886_s_at,10,99175898
200887_s_at,2,191542120
200888_s_at,17,34259867
200889_s_at,6,7232801
200890_s_at,6,7232801
200891_s_at,6,7232802
200892_s_at,3,187117810
200893_at,3,187117230
200894_s_at,12,2774394
200895_s_at,12,2774467
200896_x_at,1,154978525
200897_s_at,4,170055795
200898_s_at,10,103534196
200899_s_at,10,103534198
200900_s_at,12,54089763
200901_s_at,12,54089763
200902_at,1,87100993
200903_s_at,20,32331736
200904_at,6,30565267
200905_x_at,6,30565281
200906_s_at,4,170055692
200907_s_at,4,170055692
200908_s_at,11,799944
200909_s_at,11,799967
200910_at,1,154545383
200911_s_at,8,38763937
200912_s_at,3,187984078
200913_at,2,27457702
200914_x_at,14,55116724
200915_x_at,14,55116788
200916_at,1,158154526
200917_s_at,11,125638039
200918_s_at,11,125638039
200919_at,1,33561813
200920_s_at,12,91061031
200921_s_at,12,91061033
200922_at,19,53578062
200923_at,17,74478931
200924_s_at,11,62404943
200925_at,12,119360317
200926_at,8,98946453
200927_s_at,9,122980235
200928_s_at,9,122980236
200929_at,8,146191064
200930_s_at,10,75427879
200931_s_at,10,75427886
200932_s_at,12,56210360
200933_x_at,13,50932641
200934_at,6,18332390
200935_at,19,12910422
200936_at,8,145985957
200937_s_at,1,93070228
200938_s_at,1,8335043
200939_s_at,1,8337648
200940_s_at,1,8335043
200941_at,16,82399008
200942_s_at,16,82399128
200943_at,15,91055927
200944_s_at,15,91055927
200945_s_at,4,83958838
200946_x_at,X,120009013
200947_s_at,X,120009122
200948_at,12,6727423
200949_x_at,17,34264982
200950_at,19,58198768
200951_s_at,12,4253198
200952_s_at,12,4253198
200953_s_at,12,4253198
200954_at,16,2503871
200955_at,2,86224573
200956_s_at,11,56850034
200957_s_at,11,56850034
200958_s_at,8,59628287
200959_at,16,31098959
200960_x_at,9,36180988
200961_at,16,30362453
200962_at,2,100985167
200963_x_at,12,109383168
200964_at,X,46938335
200965_s_at,10,116180861
200966_x_at,16,29983006
200967_at,15,62235066
200968_s_at,15,62235066
200969_at,3,151742476
200970_s_at,3,151742987
200971_s_at,3,151744695
200972_at,15,75125426
200973_s_at,15,75126062
200974_at,10,90684810
200975_at,1,40310986
200976_s_at,7,27746337
200977_s_at,7,27746320
200978_at,2,63669626
200979_at,X,19271947
200980_s_at,X,19271971
200981_x_at,20,56848189
200982_s_at,5,150460862
200983_x_at,11,33686714
200984_s_at,11,33686714
200985_s_at,11,33686991
200986_at,11,57121733
200987_x_at,17,38238941
200988_s_at,17,38239013
200989_at,14,61232025
200990_at,19,63747680
200991_s_at,2,27446892
200992_at,11,9362768
200993_at,11,9362768
200994_at,11,9362768
200995_at,11,9362768
200996_at,2,114363999
200997_at,11,66162777
200998_s_at,12,105155784
200999_s_at,12,105155921
201000_at,16,68843797
201001_s_at,1,200233161
201002_s_at,20,48131311
201003_x_at,1,200233130
201004_at,X,152713287
201005_at,12,6179875
201006_at,19,12768643
201007_at,2,26321324
201008_s_at,1,144149846
201009_s_at,1,144149846
201010_s_at,1,144149938
201011_at,3,129821508
201012_at,9,74956600
201013_s_at,4,56997079
201014_s_at,4,56997211
201015_s_at,17,37164389
201016_at,1,16882172
201017_at,1,16882172
201018_at,1,16882172
201019_s_at,1,16884131
201020_at,22,30670511
201021_s_at,20,17498515
201022_s_at,20,17498784
201023_at,5,140678240
201024_x_at,2,99320221
201025_at,2,99320221
201026_at,2,99320221
201027_s_at,2,99320331
201028_s_at,X,2619401
201029_s_at,X,2619279
201030_x_at,12,21679542
201031_s_at,5,178973785
201032_at,20,35579233
201033_x_at,11,61160660
201034_at,10,111884294
201035_s_at,4,109130510
201036_s_at,4,109130450
201037_at,10,3099754
201038_s_at,15,66857927
201039_s_at,19,12917668
201040_at,3,50248658
201041_s_at,5,172127706
201042_at,20,36190276
201043_s_at,15,33316695
201044_x_at,5,172127703
201045_s_at,2,130453674
201046_s_at,19,12917727
201047_x_at,2,130453752
201048_x_at,2,130454089
201049_s_at,14,90302591
201050_at,19,45557388
201051_at,15,66857927
201052_s_at,20,1047269
201053_s_at,20,1047303
201054_at,5,137114700
201055_s_at,5,137116204
201056_at,3,122864739
201057_s_at,3,122865639
201058_s_at,20,34606672
201059_at,11,69922297
201060_x_at,9,123141173
201061_s_at,9,123141177
201062_at,9,123141177
201063_at,11,32069266
201064_s_at,1,39799074
201065_s_at,7,73741392
201066_at,8,145221982
201067_at,7,102775307
201068_s_at,3,133376885
201069_at,16,54070603
201070_x_at,2,197964694
201071_x_at,2,197964944
201072_s_at,3,47602387
201073_s_at,3,47602387
201074_at,3,47602387
201075_s_at,3,47602875
201076_at,22,40399888
201077_s_at,22,40400749
201078_at,13,98951728
201079_at,15,28123934
201080_at,17,34175470
201081_s_at,17,34177461
201082_s_at,2,74441789
201083_s_at,5,110309874
201084_s_at,5,110309874
201085_s_at,21,33844818
201086_x_at,21,33845065
201087_at,12,119132639
201088_at,17,63462309
201089_at,8,20099180
201090_x_at,11,89655406
201091_s_at,7,26207873
201092_at,X,16772697
201093_x_at,3,196870124
201094_at,1,174157704
201095_at,5,10732405
201096_s_at,3,57532129
201097_s_at,3,57532129
201098_at,3,140559124
201099_at,X,40867766
201100_s_at,X,40867766
201101_s_at,5,110309874
201102_s_at,21,44544361
201103_x_at,1,144006362
201104_x_at,1,144013091
201105_at,22,36401588
201106_at,19,1054965
201107_s_at,15,37660425
201108_s_at,15,37660425
201109_s_at,15,37660425
201110_s_at,15,37660639
201111_at,20,47096255
201112_s_at,20,47096255
201113_at,16,28761608
201114_x_at,20,60145185
201115_at,7,44120811
201116_s_at,4,166519543
201117_s_at,4,166519543
201118_at,1,10382272
201119_s_at,11,63498687
201120_s_at,X,118254278
201121_s_at,X,118254290
201122_x_at,10,80942294
201123_s_at,10,80942383
201124_at,3,125963451
201125_s_at,3,125964485
201126_s_at,5,180150153
201127_s_at,17,37276696
201128_s_at,17,37276705
201129_at,2,38824267
201130_s_at,16,67328710
201131_s_at,16,67328725
201132_at,X,100553577
201133_s_at,5,108698317
201134_x_at,5,85949608
201135_at,10,135025979
201136_at,X,48915216
201137_s_at,6,33151777
201138_s_at,2,170363602
201139_s_at,2,170363669
201140_s_at,17,37530523
201141_at,7,23252910
201142_at,14,66896801
201143_s_at,14,66896837
201144_s_at,14,66901233
201145_at,1,152511662
201146_at,2,177803284
201147_s_at,22,31526807
201148_s_at,22,31526807
201149_s_at,22,31527710
201150_s_at,22,31526807
201151_s_at,3,153468946
201152_s_at,3,153468946
201153_s_at,3,153468946
201154_x_at,1,164983224
201155_s_at,1,11962955
201156_s_at,17,37530522
201157_s_at,17,40494206
201158_at,17,40494206
201159_s_at,17,40494213
201160_s_at,12,10742955
201161_s_at,12,10743317
201162_at,4,57592002
201163_s_at,4,57592002
201164_s_at,1,31176939
201165_s_at,1,31176939
201166_s_at,1,31176939
201167_x_at,17_,andom
201168_x_at,17_,andom
201169_s_at,3,4996142
201170_s_at,3,4996207
201171_at,5,172343368
201172_x_at,5,172343407
201173_x_at,1,27120836
201174_s_at,16,74239143
201175_at,11,57236617
201176_s_at,11,117948357
201177_s_at,19,39611152
201178_at,22,31200784
201179_s_at,1,109892865
201180_s_at,1,109892803
201181_at,1,109892823
201182_s_at,12,6549508
201183_s_at,12,6549508
201184_s_at,12,6549514
201185_at,10,124211110
201186_at,4,3484092
201187_s_at,6,33697133
201188_s_at,6,33697133
201189_s_at,6,33697321
201190_s_at,17,1368032
201191_at,17,1368032
201192_s_at,17,1370265
201193_at,2,208809198
201194_at,19,52973793
201195_s_at,16,86421129
201196_s_at,6,111302752
201197_at,6,111302680
201198_s_at,2,231629830
201199_s_at,2,231629900
201200_at,1,165776880
201201_at,21,44018257
201202_at,20,5043602
201203_s_at,20,17542324
201204_s_at,20,17542324
201205_at,20,17542324
201206_s_at,20,17542744
201207_at,17,23686973
201208_s_at,17,23686926
201209_at,1,32530294
201210_at,X,41077594
201211_s_at,X,41078374
201212_at,13,64429706
201213_at,2,241738566
201214_s_at,2,241738574
201215_at,X,114701764
201216_at,12,110935644
201217_x_at,14,56514877
201218_at,5,97939942
201219_at,5,97939942
201220_x_at,5,97939942
201221_s_at,19,54280541
201222_s_at,9,109085301
201223_s_at,9,109085417
201224_s_at,1,24842370
201225_s_at,1,24842399
201226_at,10,102273487
201227_s_at,10,102273487
201228_s_at,3,48930968
201229_s_at,18,24485411
201230_s_at,3,48935201
201231_s_at,1,8843649
201232_s_at,11,226980
201233_at,11,226980
201234_at,11,6581587
201235_s_at,1,201541248
201236_s_at,1,201541286
201237_at,7,116289801
201238_s_at,7,116289844
201239_s_at,11,74337949
201240_s_at,11,74337980
201241_at,2,15649220
201242_s_at,1,167342603
201243_s_at,1,167342627
201244_s_at,3,12600107
201245_s_at,11,63510460
201246_s_at,11,63510460
201247_at,22,40559071
201248_s_at,22,40559103
201249_at,1,43163549
201250_s_at,1,43164105
201251_at,15,70278466
201252_at,19,45168937
201253_s_at,16,29777183
201254_x_at,19,12865931
201255_x_at,6,31714796
201256_at,2,42431150
201257_x_at,10,86310154
201258_at,1,16027293
201259_s_at,7,105518184
201260_s_at,7,105518189
201261_x_at,X,152413646
201262_s_at,X,152413656
201263_at,5,33476847
201264_at,19,18871338
201265_at,1,206956845
201266_at,12,103204972
201267_s_at,11,47396901
201268_at,12,119204403
201269_s_at,7,44388407
201270_x_at,7,44389715
201271_s_at,20,32045392
201272_at,19,38542871
201273_s_at,1,224032161
201274_at,1,109745995
201275_at,1,153545378
201276_at,12,54672257
201277_s_at,5,177564216
201278_at,5,39407532
201279_s_at,5,39409054
201280_s_at,5,39408502
201281_at,20,60312015
201282_at,7,44612751
201283_s_at,3,49686922
201284_s_at,3,49686820
201285_at,7,139799328
201286_at,2,20264038
201287_s_at,2,20264738
201288_at,12,14986231
201289_at,1,85819175
201290_at,15,83013780
201291_s_at,17,35660692
201292_at,17,35660692
201293_x_at,2,129970323
201294_s_at,17,22645265
201295_s_at,17,22645265
201296_s_at,17,22645265
201297_s_at,2,74233163
201298_s_at,2,74236719
201299_s_at,2,74235494
201300_s_at,20,4615119
201301_s_at,2,69822727
201302_at,2,69862154
201303_at,17,75723651
201304_at,8,48195654
201305_x_at,9,99785308
201306_s_at,9,99785463
201307_at,4,78089892
201308_s_at,4,78089987
201309_x_at,7,23486881
201310_s_at,7,23486743
201311_s_at,X,80344150
201312_s_at,X,80344277
201313_at,12,6893874
201314_at,2,242083187
201315_x_at,11,297914
201316_at,7,42922988
201317_s_at,2,202752262
201318_s_at,18,3237812
201319_at,18,3237812
201320_at,12,54842348
201321_s_at,12,54843384
201322_at,12,55318240
201323_at,1,43402442
201324_at,12,13240923
201325_s_at,12,13240923
201326_at,7,56086949
201327_s_at,7,56086949
201328_at,21,39099622
201329_s_at,21,39099624
201330_at,5,167846068
201331_s_at,12,55775493
201332_s_at,12,55776284
201333_s_at,11,119782033
201334_s_at,11,119782033
201335_s_at,11,119713155
201336_at,1,7753995
201337_s_at,1,7756088
201338_x_at,13,26896680
201339_s_at,1,53216512
201340_s_at,5,73961504
201341_at,5,73958990
201342_at,5,75708246
201343_at,5,138921107
201344_at,5,138921107
201345_s_at,5,138921556
201346_at,12,1757278
201347_x_at,9,37412706
201348_at,5,150380111
201349_at,17,70256378
201350_at,17,24230483
201351_s_at,10,27440673
201352_at,10,27439390
201353_s_at,12,55275588
201354_s_at,12,55275588
201355_s_at,12,55275646
201356_at,22,29058898
201357_s_at,22,29060448
201358_s_at,11,14435674
201359_at,11,14435674
201360_at,20,23562296
201361_at,11,60438252
201362_at,1,183532152
201363_s_at,1,183532666
201364_s_at,15,62767724
201365_at,15,62766828
201366_at,10,74805209
201367_s_at,2,43303048
201368_at,2,43303048
201369_s_at,2,43304877
201370_s_at,2,225042904
201371_s_at,2,225046865
201372_s_at,2,225043112
201373_at,8,145061308
201374_x_at,8,30762671
201375_s_at,8,30762707
201376_s_at,10,43201071
201377_at,1,152459278
201378_s_at,1,152459278
201379_s_at,20,61967086
201380_at,3,33130570
201381_x_at,1,173235825
201382_at,1,173235822
201383_s_at,17_,andom
201384_s_at,17_,andom
201385_at,4,24138198
201386_s_at,4,24138591
201387_s_at,4,40953886
201388_at,17,35390607
201389_at,12,53075313
201390_s_at,6,31741635
201391_at,16,3648039
201392_s_at,6,160310120
201393_s_at,6,160310120
201394_s_at,3,50102810
201395_at,3,50101371
201396_s_at,19,2705711
201397_at,1,120056068
201398_s_at,8,71648232
201399_s_at,8,71649699
201400_at,17,34162588
201401_s_at,11,66790733
201402_at,11,66790675
201403_s_at,1,163867127
201404_x_at,1,35840326
201405_s_at,7,99524846
201406_at,11,1770330
201407_s_at,2,28828236
201408_at,2,28828236
201409_s_at,2,28828236
201410_at,2,131579347
201411_s_at,2,131579378
201412_at,14,22414885
201413_at,5,118816121
201414_s_at,11,2922242
201415_at,20,32979901
201416_at,6,21700978
201417_at,6,21700978
201418_s_at,6,21702398
201419_at,3,52410063
201420_s_at,1,111784127
201421_s_at,1,111784418
201422_at,19,18145624
201423_s_at,13,112912287
201424_s_at,13,112912287
201425_at,12,110689133
201426_s_at,10,17310935
201427_s_at,5,42835746
201428_at,7,72883286
201429_s_at,11,27461964
201430_s_at,5,146750563
201431_s_at,5,146750566
201432_at,11,34417068
201433_s_at,8,97343342
201434_at,5,159370084
201435_s_at,17,44855654
201436_at,17,44855654
201437_s_at,17,44855654
201438_at,2,237897399
201439_at,10,103995298
201440_at,12,51410436
201441_at,19,40831112
201442_s_at,X,40325126
201443_s_at,X,40325159
201444_s_at,X,40342901
201445_at,1,95135353
201446_s_at,2,70290081
201447_at,2,70290081
201448_at,2,70290081
201449_at,2,70290081
201450_s_at,2,70292319
201451_x_at,7,150794727
201452_at,10,46815847
201453_x_at,10,46816205
201454_s_at,17,42963600
201455_s_at,17,42963600
201456_s_at,10,124903905
201457_x_at,10,124903919
201458_s_at,10,124903920
201459_at,19,54188967
201460_at,1,204924911
201461_s_at,1,204924911
201462_at,7,29926414
201463_s_at,11,737431
201464_x_at,1,59018953
201465_s_at,1,59020304
201466_s_at,1,59019049
201467_s_at,16,68300804
201468_s_at,16,68300806
201469_s_at,1,153201397
201470_at,10,106004667
201471_s_at,5,179180490
201472_at,X,154097743
201473_at,19,12763332
201474_s_at,17,45488729
201475_x_at,12,56168133
201476_s_at,11,4072586
201477_s_at,11,4072632
201478_s_at,X,153644353
201479_at,X,153644374
201480_s_at,19,44628081
201481_s_at,20,25176780
201482_at,1,178390590
201483_s_at,17,53778283
201484_at,17,53777537
201485_s_at,15,75011176
201486_at,15,75011170
201487_at,11,87666408
201488_x_at,1,32252069
201489_at,10,80777239
201490_s_at,10,80777242
201491_at,14,76994154
201492_s_at,12,54796640
201493_s_at,2,20311845
201494_at,11,82213057
201495_x_at,16,15704489
201496_x_at,16,15704489
201497_x_at,16,15704494
201498_at,16,8893674
201499_s_at,16,8894850
201500_s_at,6,30142967
201501_s_at,4,71904113
201502_s_at,14,34940466
201503_at,5,151131682
201504_s_at,2,122229590
201505_at,7,107351498
201506_at,5,135392596
201507_at,3,12344506
201508_at,17,35853235
201509_at,20,2587042
201510_at,1,200246336
201511_at,2,218837096
201512_s_at,3,101566828
201513_at,2,122229590
201514_s_at,5,151131727
201515_s_at,2,122229744
201516_at,1,11037263
201517_at,3,198146675
201518_at,17,43502421
201519_at,3,101564998
201520_s_at,4,71904115
201521_s_at,3,198148126
201522_x_at,15,22751227
201523_x_at,12,92327263
201524_x_at,X,142794841
201525_at,3,196776885
201526_at,7,127015752
201527_at,12,46765067
201528_at,17,1680014
201529_s_at,17,1680070
201530_x_at,12,51833308
201531_at,19,44589326
201532_at,14,57784219
201533_at,3,41215999
201534_s_at,13,29237748
201535_at,13,29236545
201536_at,17,39199018
201537_s_at,17,39201202
201538_s_at,17,39202225
201539_s_at,X,135116236
201540_at,X,135079750
201541_s_at,7,100648166
201542_at,10,71579968
201543_s_at,10,71582189
201544_x_at,14,22859236
201545_s_at,14,22859236
201546_at,2,230340173
201547_at,1,200963155
201548_s_at,1,200963155
201549_x_at,1,200963155
201550_x_at,17,77091593
201551_s_at,13,113008858
201552_at,13,113008799
201553_s_at,13,113008799
201554_x_at,1,55460631
201555_at,6,52236776
201556_s_at,17,8004448
201557_at,17,8003188
201558_at,20,55359723
201559_s_at,1,24944555
201560_at,1,24944434
201561_s_at,1,9711672
201562_s_at,15,43102632
201563_at,15,43102636
201564_s_at,15,32573807
201565_s_at,2,8739636
201566_x_at,2,8739648
201567_s_at,3,37259777
201568_at,5,132230259
201569_s_at,22,42682681
201570_at,22,42682681
201571_s_at,4,184048250
201572_x_at,4,184048251
201573_s_at,5,137871013
201574_at,5,137869686
201575_at,14,77253698
201576_s_at,3,33013234
201577_at,17,46585942
201578_at,7,130835582
201579_at,4,187745942
201580_s_at,20,7905999
201581_at,20,7905999
201582_at,20,18436705
201583_s_at,20,18436525
201584_s_at,19,14380626
201585_s_at,1,35421455
201586_s_at,1,35421789
201587_s_at,X,152929155
201588_at,18,52421052
201589_at,X,53421617
201590_x_at,10,66255285
201591_s_at,3,52464671
201592_at,8,117726266
201593_s_at,2,187059129
201594_s_at,18,9536841
201595_s_at,2,187059129
201596_x_at,12,51629177
201597_at,4,98042961
201598_s_at,11,71613472
201599_at,10,126075861
201600_at,12,6944777
201601_x_at,11,304061
201602_s_at,12,78691478
201603_at,12,78691478
201604_s_at,12,78692316
201605_x_at,19,977634
201606_s_at,12,106603688
201607_at,12,106603688
201608_s_at,12,106603719
201609_x_at,1,6202449
201610_at,1,6202449
201611_s_at,1,6203841
201612_at,1,163898076
201613_s_at,3,129282492
201614_s_at,3,129282492
201615_x_at,7,134114915
