Probe_Id,chr,bp_start
ILMN_1690583,10,46155140
ILMN_1898312,,
ILMN_1736872,,
ILMN_1821747,,
ILMN_1835813,,
ILMN_1867785,,
ILMN_1903911,,
ILMN_1791645,,
ILMN_1846278,,
ILMN_1718832,1,227507677
ILMN_1742221,19,19117500
ILMN_1651470,,
ILMN_1886727,,
ILMN_1827857,,
ILMN_1820879,,
ILMN_1906647,,
ILMN_1728799,9,66974318
ILMN_1910307,,
ILMN_1861982,,
ILMN_1656074,10,46587281
ILMN_1779144,12,9942707
ILMN_1832720,,
ILMN_1810625,,
ILMN_1664601,,
ILMN_1912718,,
ILMN_1689518,17,59754751
ILMN_1843939,,
ILMN_1661344,,
ILMN_1729212,7,125865969
ILMN_1751069,9,27276321
ILMN_1772369,X,19287714
ILMN_1881513,,
ILMN_1778756,16,28524561
ILMN_1656900,16,28524739
ILMN_1657302,16,28538927
ILMN_1816550,,
ILMN_1656257,,
ILMN_1760033,21,98995
ILMN_1822443,,
ILMN_1756787,4,181303500
ILMN_1728338,16,11448146
ILMN_1848954,,
ILMN_1789871,,
ILMN_1804150,7,27616432
ILMN_1827993,,
ILMN_1758120,1,461479
ILMN_1786116,20,23053780
ILMN_1667846,12,10266882
ILMN_1722178,15,80979934
ILMN_1806103,15,80979862
ILMN_1830102,,
ILMN_1727001,5,129352760
ILMN_1657750,10,101143841
ILMN_1866433,,
ILMN_1674243,3,193077120
ILMN_1752117,8,87216683
ILMN_1734968,,
ILMN_1730504,6,161471206
ILMN_1813836,2,136381356
ILMN_1677955,20,25152768
ILMN_1655358,1,111784304
ILMN_1913769,,
ILMN_1869277,,
ILMN_1673757,2,201845641
ILMN_1768933,,
ILMN_1883107,,
ILMN_1915039,,
ILMN_1890854,,
ILMN_1772123,17,32516223
ILMN_1667641,17,32796502
ILMN_1781076,8,10883715
ILMN_1653562,8,10906934
ILMN_1721755,8,10909086
ILMN_1742280,8,10902244
ILMN_1713141,,
ILMN_1694220,,
ILMN_1765641,7,82922803
ILMN_1669167,,
ILMN_1700627,16,28692015
ILMN_1876534,,
ILMN_1706839,5,141037451
ILMN_1884246,,
ILMN_1706553,1,154758886
ILMN_1690469,1,154747382
ILMN_1846799,,
ILMN_1708964,15,19542975
ILMN_1872500,,
ILMN_1771084,16,20711090
ILMN_1685952,16,20703829
ILMN_1783448,16,52629947
ILMN_1913975,,
ILMN_1893053,,
ILMN_1915653,,
ILMN_1746659,Y,11784477
ILMN_1776480,11,114933696
ILMN_1811346,,
ILMN_1834635,,
ILMN_1897602,,
ILMN_1869853,,
ILMN_1884661,,
ILMN_1715416,9,130808945
ILMN_1844837,,
ILMN_1846825,,
ILMN_1726002,,
ILMN_1668963,10,99467774
ILMN_1794597,3,44599866
ILMN_1722676,19,18182120
ILMN_1733366,19,12846639
ILMN_1875766,,
ILMN_1868342,,
ILMN_1704858,8,7411016
ILMN_1667468,19,51842834
ILMN_1657274,6,170788342
ILMN_1795744,6,170778304
ILMN_1663065,6,170788223
ILMN_1698552,19,20588040
ILMN_1855167,,
ILMN_1834781,,
ILMN_1862612,,
ILMN_1737247,X,123294553
ILMN_1812256,15,19493728
ILMN_1667125,14,74442319
ILMN_1889155,,
ILMN_1906347,,
ILMN_1697527,22,18705683
ILMN_1651351,22,18705693
ILMN_1663245,22,18705655
ILMN_1757129,17,7653954
ILMN_1888740,,
ILMN_1684377,,
ILMN_1879252,,
ILMN_1666087,,
ILMN_1686906,20,30079931
ILMN_1861737,,
ILMN_1820432,,
ILMN_1809676,19,59194786
ILMN_1687202,15,84432560
ILMN_1807972,6,109872130
ILMN_1909441,,
ILMN_1655044,,
ILMN_1655625,19,30119894
ILMN_1916992,,
ILMN_1668432,18,18889046
ILMN_1912885,,
ILMN_1797753,18,6886511
ILMN_1731178,18,6888506
ILMN_1661399,,
ILMN_1884064,,
ILMN_1810928,20,11819510
ILMN_1668592,2,48679254
ILMN_1688776,,
ILMN_1777849,,
ILMN_1675949,,
ILMN_1797875,13,12156367
ILMN_1899922,,
ILMN_1662590,9,105822259
ILMN_1765532,6,32027845
ILMN_1781691,2,201950317
ILMN_1670318,6,7347952
ILMN_1823766,,
ILMN_1672443,4,16843057
ILMN_1707904,,
ILMN_1702167,,
ILMN_1688566,13,24266185
ILMN_1681591,20,45949548
ILMN_1713438,6,31733867
ILMN_1858409,,
ILMN_1862651,,
ILMN_1837522,,
ILMN_1742044,7,79686126
ILMN_1737043,6,31656446
ILMN_1652938,X,139726501
ILMN_1804834,6,41142732
ILMN_1782320,5,135887124
ILMN_1874742,,
ILMN_1756070,11,15218595
ILMN_1687703,17,54430568
ILMN_1826215,,
ILMN_1902222,,
ILMN_1795285,5,129104925
ILMN_1816234,,
ILMN_1852059,,
ILMN_1745490,,
ILMN_1832459,,
ILMN_1760051,12,23576806
ILMN_1655261,12,14958334
ILMN_1691487,9,109280196
ILMN_1915867,,
ILMN_1764153,15,18319176
ILMN_1688903,5,177235023
ILMN_1813246,5,177236276
ILMN_1691949,5,177243686
ILMN_1672759,10,74317161
ILMN_1674924,20,59405160
ILMN_1694100,6,57620968
ILMN_1803191,,
ILMN_1670707,17,39093297
ILMN_1713533,4,164611942
ILMN_1766981,2,92999252
ILMN_1880382,,
ILMN_1917036,,
ILMN_1898159,,
ILMN_1719475,20,31597943
ILMN_1684534,20,31477920
ILMN_1885950,,
ILMN_1858436,,
ILMN_1916014,,
ILMN_1788728,10,95547253
ILMN_1730995,10,116044800
ILMN_1861588,,
ILMN_1730696,3,44584880
ILMN_1761409,3,44588240
ILMN_1687403,22,3044093
ILMN_1702817,17,76304250
ILMN_1776925,16,2842952
ILMN_1700394,9,41312665
ILMN_1896594,,
ILMN_1869088,,
ILMN_1863858,,
ILMN_1779109,6,32253770
ILMN_1676413,2,17612222
ILMN_1691228,20,58080614
ILMN_1673376,17,76303185
ILMN_1795400,17,76299657
ILMN_1733846,8,67140789
ILMN_1792383,2,24081340
ILMN_1700747,,
ILMN_1678998,8,140863907
ILMN_1860632,,
ILMN_1776523,16,68704712
ILMN_1799443,3,2843133
ILMN_1870732,,
ILMN_1731349,,
ILMN_1891752,,
ILMN_1827355,,
ILMN_1869796,,
ILMN_1854823,,
ILMN_1774074,6,33269394
ILMN_1810166,14,93902788
ILMN_1771261,1,31261485
ILMN_1672935,Y,19393788
ILMN_1688833,Y,19394759
ILMN_1815570,7,27236326
ILMN_1729294,5,179326416
ILMN_1819013,,
ILMN_1868418,,
ILMN_1728374,,
ILMN_1655856,15,41651284
ILMN_1773885,1,44458486
ILMN_1651438,16,
ILMN_1820606,,
ILMN_1830952,,
ILMN_1737298,2,85625714
ILMN_1709042,11,66164001
ILMN_1712455,11,66164118
ILMN_1719881,11,66167622
ILMN_1753353,4,1665018
ILMN_1850850,,
ILMN_1803183,3,9770871
ILMN_1830253,,
ILMN_1802248,18,57632491
ILMN_1859996,,
ILMN_1897014,,
ILMN_1709085,17,3519845
ILMN_1786211,15,40725673
ILMN_1856381,,
ILMN_1874205,,
ILMN_1775797,2,231151795
ILMN_1709968,,
ILMN_1733627,18,52773399
ILMN_1696591,13,47952504
ILMN_1711346,5,38388117
ILMN_1671808,X,151628119
ILMN_1899018,,
ILMN_1674640,3,45964449
ILMN_1813400,4,165662566
ILMN_1867371,,
ILMN_1683179,16,52830185
ILMN_1888518,,
ILMN_1747207,8,72436501
ILMN_1678564,1,1261752
ILMN_1657278,1,1267688
ILMN_1838657,,
ILMN_1756914,10,30395483
ILMN_1807689,11,124808017
ILMN_1795170,X,
ILMN_1801516,2,233163180
ILMN_1827133,,
ILMN_1848727,,
ILMN_1869559,,
ILMN_1790202,1,198803797
ILMN_1674588,20,7812269
ILMN_1872693,,
ILMN_1855868,,
ILMN_1830324,,
ILMN_1913813,,
ILMN_1660111,13,75041597
ILMN_1725833,12,25520566
ILMN_1756455,3,3068119
ILMN_1701911,5,129967756
ILMN_1696748,19,61053611
ILMN_1793655,2,109970777
ILMN_1828967,,
ILMN_1875250,,
ILMN_1731516,13,1522036
ILMN_1876266,13,1518103
ILMN_1693896,13,7413178
ILMN_1897741,,
ILMN_1866514,,
ILMN_1902125,,
ILMN_1763521,1,1881333
ILMN_1712390,6,33492434
ILMN_1691550,11,
ILMN_1653324,6,137507559
ILMN_1805385,6,137519591
ILMN_1831869,,
ILMN_1697916,11,45906880
ILMN_1852081,,
ILMN_1792207,17,37978594
ILMN_1822033,,
ILMN_1910183,,
ILMN_1825508,,
ILMN_1685928,9,130436048
ILMN_1711570,,
ILMN_1663112,11,129780112
ILMN_1792341,20,2792830
ILMN_1869685,,
ILMN_1892163,,
ILMN_1676395,,
ILMN_1871204,,
ILMN_1802482,3,158124981
ILMN_1651461,17,68540800
ILMN_1916822,,
ILMN_1775743,12,89604575
ILMN_1678404,2,47899617
ILMN_1733164,2,47893651
ILMN_1701386,2,202053462
ILMN_1735127,4,179295409
ILMN_1655283,2,92963344
ILMN_1841789,,
ILMN_1695763,3,124351891
ILMN_1740559,13,94212962
ILMN_1846171,,
ILMN_1664336,1,226527479
ILMN_1910158,,
ILMN_1840107,,
ILMN_1658978,,
ILMN_1671921,2,27329264
ILMN_1828149,,
ILMN_1710740,6,32021146
ILMN_1764244,11,59529215
ILMN_1756204,11,63896005
ILMN_1660882,11,46363273
ILMN_1737036,20,30227729
ILMN_1808984,,
ILMN_1764874,7,98462412
ILMN_1792777,22,12671591
ILMN_1822974,,
ILMN_1668442,21,25680343
ILMN_1720524,10,90428209
ILMN_1763537,15,43680528
ILMN_1913485,,
ILMN_1841170,,
ILMN_1778223,9,47104111
ILMN_1672846,16,70054107
ILMN_1771320,6,42861220
ILMN_1745620,2,88108669
ILMN_1888749,,
ILMN_1804033,19,6702179
ILMN_1653826,X,137649108
ILMN_1700432,1,197336761
ILMN_1811594,17,55129633
ILMN_1800195,22,47302590
ILMN_1801040,16,29588882
ILMN_1658017,16,29581814
ILMN_1878097,,
ILMN_1842420,,
ILMN_1917094,,
ILMN_1870589,,
ILMN_1686759,,
ILMN_1689136,4,141783441
ILMN_1780560,17,
ILMN_1668334,,
ILMN_1896554,,
ILMN_1713163,4,144688012
ILMN_1902080,,
ILMN_1869645,,
ILMN_1866384,,
ILMN_1741157,16,45065711
ILMN_1893398,,
ILMN_1681008,14,54074683
ILMN_1727523,,
ILMN_1740591,,
ILMN_1799836,7,27191574
ILMN_1759252,4,2901505
ILMN_1903891,,
ILMN_1672854,20,25164798
ILMN_1866563,,
ILMN_1907139,,
ILMN_1800270,5,156675010
ILMN_1848519,,
ILMN_1816357,,
ILMN_1710758,9,73926169
ILMN_1775114,3,40444549
ILMN_1833804,,
ILMN_1734306,11,5862922
ILMN_1676294,6,103024416
ILMN_1821462,,
ILMN_1757440,,
ILMN_1718446,,
ILMN_1735211,20,40687809
ILMN_1697628,21,32016898
ILMN_1679797,21,
ILMN_1731165,22,21438899
ILMN_1910998,,
ILMN_1903095,,
ILMN_1788625,14,56740521
ILMN_1824593,,
ILMN_1680220,2,17737913
ILMN_1705737,3,49037192
ILMN_1814600,5,56857141
ILMN_1839190,,
ILMN_1913995,,
ILMN_1911643,,
ILMN_1882270,,
ILMN_1854063,,
ILMN_1803997,9,108755917
ILMN_1893555,,
ILMN_1698849,8,27374259
ILMN_1684448,,
ILMN_1785821,6,24758743
ILMN_1722634,19,54118266
ILMN_1759989,19,44867692
ILMN_1787815,20,326009
ILMN_1656276,22,28096724
ILMN_1777031,1,126622002
ILMN_1725172,1,126632977
ILMN_1871423,,
ILMN_1703487,1,87583404
ILMN_1864998,,
ILMN_1888666,,
ILMN_1869109,,
ILMN_1697810,12,31023833
ILMN_1695187,4,145016057
ILMN_1812163,4,145017420
ILMN_1862566,,
ILMN_1858688,,
ILMN_1899453,,
ILMN_1699790,,
ILMN_1713369,19,54686979
ILMN_1698735,4,12948737
ILMN_1701603,1,20148518
ILMN_1713249,9,93235620
ILMN_1767344,5,17544434
ILMN_1707218,21,23474727
ILMN_1709728,5,68436232
ILMN_1664153,5,68459615
ILMN_1840901,,
ILMN_1692719,3,158643397
ILMN_1902912,,
ILMN_1820051,,
ILMN_1878999,,
ILMN_1880796,,
ILMN_1817199,,
ILMN_1894480,,
ILMN_1748150,3,171139357
ILMN_1724427,1,130103942
ILMN_1819597,,
ILMN_1866549,,
ILMN_1664430,2,63130894
ILMN_1878613,,
ILMN_1855055,,
ILMN_1827267,,
ILMN_1658847,,
ILMN_1803728,22,14005228
ILMN_1801435,,
ILMN_1893047,,
ILMN_1675830,3,110611439
ILMN_1898136,,
ILMN_1679342,4,115733665
ILMN_1803825,10,41392367
ILMN_1689111,10,41402617
ILMN_1749402,17,62311189
ILMN_1749088,17,62311469
ILMN_1655713,1,218870523
ILMN_1691127,17,22903184
ILMN_1658584,17,602244
ILMN_1697115,,
ILMN_1829623,,
ILMN_1754272,16,44307856
ILMN_1889804,,
ILMN_1785058,15,60717136
ILMN_1865055,,
ILMN_1670716,7,139793026
ILMN_1858756,,
ILMN_1805833,,
ILMN_1913098,,
ILMN_1802834,,
ILMN_1691395,3,102851170
ILMN_1697493,4,81472309
ILMN_1914590,,
ILMN_1712513,12,31141063
ILMN_1728564,3,12924020
ILMN_1712325,16,34365601
ILMN_1660978,14,788273
ILMN_1662619,2,188057101
ILMN_1707124,2,188040847
ILMN_1820772,,
ILMN_1884665,,
ILMN_1677959,15,28560353
ILMN_1872276,12,107009837
ILMN_1713055,12,107011448
ILMN_1809964,1,130767024
ILMN_1653678,11,55318164
ILMN_1751146,,
ILMN_1679482,13,556168
ILMN_1852862,,
ILMN_1860678,,
ILMN_1754009,21,31491925
ILMN_1848916,,
ILMN_1873459,,
ILMN_1687265,X,100977830
ILMN_1659991,5,176758226
ILMN_1916036,,
ILMN_1854730,,
ILMN_1684682,2,201062662
ILMN_1798690,15,60970743
ILMN_1677636,19,18754711
ILMN_1886043,,
ILMN_1731804,16,29368666
ILMN_1655529,,
ILMN_1751045,,
ILMN_1688056,2,63971802
ILMN_1654340,2,63922787
ILMN_1671969,2,63922518
ILMN_1752677,2,86684529
ILMN_1862310,,
ILMN_1693519,10,48032756
ILMN_1654653,14,103222158
ILMN_1726901,14,103215551
ILMN_1718253,7,140802304
ILMN_1902967,,
ILMN_1742594,,
ILMN_1715715,19,
ILMN_1775479,,
ILMN_1815407,21,15832387
ILMN_1658206,1,35000454
ILMN_1677840,16,44445467
ILMN_1740312,16,44445733
ILMN_1846576,,
ILMN_1792660,1,171996783
ILMN_1689257,4,1283946
ILMN_1901555,,
ILMN_1803801,,
ILMN_1879516,,
ILMN_1765945,18,14497938
ILMN_1903440,,
ILMN_1785345,12,53042762
ILMN_1699200,17,14052438
ILMN_1651544,X,71466403
ILMN_1851512,,
ILMN_1830467,,
ILMN_1913549,,
ILMN_1839121,,
ILMN_1783656,17,8144435
ILMN_1774813,X,50172094
ILMN_1676447,X,50140860
ILMN_1911361,,
ILMN_1684439,3,159803398
ILMN_1706536,2,87419720
ILMN_1868866,,
ILMN_1776846,11,4345289
ILMN_1738607,17,30917740
ILMN_1722527,13,52180717
ILMN_1697373,22,27916985
ILMN_1796574,4,41444057
ILMN_1701704,4,41441541
ILMN_1740094,4,41444044
ILMN_1859719,,
ILMN_1657147,12,5012486
ILMN_1916186,,
ILMN_1752227,5,118119243
ILMN_1740772,5,135083362
ILMN_1738639,14,41443258
ILMN_1912291,,
ILMN_1894355,,
ILMN_1752380,19,41360496
ILMN_1773958,X,114876010
ILMN_1817220,,
ILMN_1909588,,
ILMN_1662962,8,115446754
ILMN_1897407,,
ILMN_1691789,10,112042919
ILMN_1847184,,
ILMN_1681467,17,
ILMN_1697088,16,31385769
ILMN_1677166,8,19142606
ILMN_1689635,7,127027585
ILMN_1810593,1,70360461
ILMN_1723642,16,33040407
ILMN_1659327,15,20660139
ILMN_1853187,,
ILMN_1846110,,
ILMN_1659028,,
ILMN_1727740,6,86381015
ILMN_1885051,,
ILMN_1853176,,
ILMN_1711189,1,11056586
ILMN_1670796,1,11049347
ILMN_1862553,,
ILMN_1676108,X,24077960
ILMN_1791889,6,31799730
ILMN_1667402,10,58771252
ILMN_1895568,,
ILMN_1799981,8,133886157
ILMN_1727287,8,133906615
ILMN_1717854,6,126401724
ILMN_1761148,6,126349272
ILMN_1805481,6,126384039
ILMN_1856564,,
ILMN_1727348,3,162451872
ILMN_1775011,2,10628707
ILMN_1870438,,
ILMN_1736923,,
ILMN_1785455,15,28561151
ILMN_1677091,,
ILMN_1849615,,
ILMN_1755123,1,153471703
ILMN_1699070,,
ILMN_1915234,,
ILMN_1894397,,
ILMN_1880557,,
ILMN_1712803,5,68509546
ILMN_1819485,,
ILMN_1853328,,
ILMN_1722772,,
ILMN_1690454,3,49817311
ILMN_1821595,,
ILMN_1774547,17,17029306
ILMN_1743097,22,25022799
ILMN_1845982,,
ILMN_1779547,4,84433116
ILMN_1892022,,
ILMN_1652259,9,66979378
ILMN_1670038,19,50408039
ILMN_1816567,,
ILMN_1834788,,
ILMN_1653828,12,130193763
ILMN_1665060,X,111512585
ILMN_1893238,,
ILMN_1744647,12,65993993
ILMN_1902758,,
